instancia,vertices,arestas,terminais,cplex_custo,cplex_tempo (s),simplex_custo,simplex_tempo (s),isolation_custo,isolation_tempo (s),local_search_custo_1,local_search_tempo_1 (s),local_search_custo_2,local_search_tempo_2 (s),local_search_custo_3,local_search_tempo_3 (s),calinescu_custo,calinescu_tempo (s),buchbinder_custo,buchbinder_tempo (s)
N640_M4N_K40_3,640,2776,40,,,9306.0,330.893764221,9934.0,330.893764221,9318.0,27.363582746,9319.0,30.65871887,9334.0,28.457784568,9306.0,330.954351539,9306.0,331.486545136
N640_M4N_K80_1,640,2620,80,,,8643.0,178.160669589,10319.0,178.160669589,8663.0,92.393114348,8657.0,66.185521431,8660.0,72.936575763,8643.0,178.271136432,8643.0,180.534318998
N640_M4N_K80_2,640,2637,80,,,,,,,,,,,,,,,,
N640_M4N_K80_3,640,2631,80,,,8374.0,165.040172088,10305.0,165.040172088,8398.0,117.589604836,8393.0,78.235213677,8389.0,92.43510582,8374.0,165.151309897,8374.0,167.395237656
N640_M8N_K160_1,640,5066,160,,,,,,,,,,,,,,,,
N640_M8N_K160_2,640,5058,160,,,,,,,,,,,,,,,,
N640_M8N_K160_3,640,5055,160,,,,,,,,,,,,,,,,
N640_M8N_K40_1,640,5116,40,,,10225.0,793.504856411,12740.0,793.504856411,10247.0,183.645123986,10235.0,166.5846044,10255.0,132.930134636,10225.0,793.600221289,10225.0,794.736900096
N640_M8N_K40_2,640,5125,40,,,10153.0,795.39143761,12646.0,795.39143761,10178.0,179.607555273,10172.0,142.545047801,10179.0,135.361916534,10153.0,795.490631778,10153.0,795.434264275
N640_M8N_K40_3,640,5116,40,,,9566.0,773.580796902,11851.0,773.580796902,9591.0,149.83037397,9574.0,142.469283492,9573.0,133.825093737,9566.0,773.66857817,9566.0,773.620656828
N640_M8N_K80_1,640,5048,80,,,,,,,,,,,,,,,,
N640_M8N_K80_2,640,5058,80,,,,,,,,,,,,,,,,
N640_M8N_K80_3,640,5053,80,,,,,,,,,,,,,,,,
