Instance,Nodes,Edges,Terminals,Valid Solution,Best cost,Num edges cut,Last update iteration,Last update time,Final iteration,Final time,seed
N2560K160M4N3,2560,10877,240,True,36268,0,2787,595.886,2807,600.207,1694354
N2560K160M4N4,2560,10873,240,True,36479,0,2788,599.102,2793,600.182,1694354
N2560K160M4N5,2560,10917,240,True,43241,0,2842,578.544,2945,600.086,1694354
N320K40M4N1,320,1309,40,True,4186,0,179,4.50203,24651,600.001,1694354
N320K40M4N2,320,1307,40,True,4016,0,5898,150.007,23618,600.021,1694354
N320K40M4N3,320,1311,40,True,4476,0,11624,293.108,23832,600.011,1694354
N320K40M4N4,320,1306,40,True,3937,0,732,18.5086,23823,600.016,1694354
N320K40M4N5,320,1311,40,True,4352,0,1355,35.7013,22963,600.015,1694354
N5120K320M4N1,5120,21775,480,True,71566,0,1279,594.802,1291,600.428,1694354
N5120K320M4N2,5120,21803,480,True,72402,0,1303,600.19,1303,600.19,1694354
N640K80M4N1,640,2615,80,True,8461,0,5598,292.888,11455,600.024,1694354
N640K80M4N2,640,2636,80,True,8303,0,3244,166.566,11734,600.027,1694354
N640K80M4N3,640,2623,80,True,8494,0,7265,365.534,11919,600.028,1694354
N640K80M4N4,640,2624,80,True,8359,0,9130,469.862,11658,600.033,1694354
N640K80M4N5,640,2612,80,True,8456,0,6570,331.994,11853,600.018,1694354
N1280K80M4N1,1280,5419,120,True,17517,0,3021,315.593,5736,600.019,1884283
N1280K80M4N2,1280,5405,120,True,17524,0,659,67.3332,5798,600.088,1884283
N1280K80M4N3,1280,5433,120,True,18212,0,3269,351.955,5577,600.039,1884283
N1280K80M4N4,1280,5438,120,True,17966,0,2373,242.529,5846,600.064,1884283
N1280K80M4N5,1280,5467,120,True,18429,0,4488,458.568,5863,600.034,1884283
N160K20M4N1,160,649,20,True,2152,0,158,2.12603,45388,600.003,1884283
N160K20M4N2,160,651,20,True,2041,0,26054,350.704,44661,600.007,1884283
N160K20M4N3,160,653,20,True,1877,0,204,2.87609,43205,600.005,1884283
N160K20M4N4,160,644,20,True,2010,0,3899,51.6156,45548,600.002,1884283
N160K20M4N5,160,660,20,True,2086,0,112,1.51249,45010,600.004,1884283
N2560K160M4N1,2560,10879,240,True,35747,0,2687,591.976,2724,600.151,1884283
N2560K160M4N2,2560,10894,240,True,35954,0,2576,571.139,2706,600.081,1884283
N2560K160M4N3,2560,10877,240,True,35860,0,2703,589.127,2753,600.122,1884283
N2560K160M4N4,2560,10873,240,True,36474,0,2775,590.172,2821,600.034,1884283
N2560K160M4N5,2560,10917,240,True,41428,0,2786,565.49,2949,600.07,1884283
N320K40M4N1,320,1309,40,True,4185,0,2304,56.9691,24365,600.009,1884283
N320K40M4N2,320,1307,40,True,4018,0,287,7.35829,23494,600.015,1884283
N320K40M4N3,320,1311,40,True,4476,0,2333,59.5956,23691,600.007,1884283
N320K40M4N4,320,1306,40,True,3937,0,1122,28.062,24058,600.015,1884283
N320K40M4N5,320,1311,40,True,4352,0,4975,129.423,23183,600.026,1884283
N5120K320M4N1,5120,21775,480,True,71471,0,1296,599.769,1297,600.235,1884283
N5120K320M4N2,5120,21803,480,True,72269,0,1296,600.132,1296,600.132,1884283
N640K80M4N1,640,2615,80,True,8462,0,7599,397.571,11472,600.033,1884283
N640K80M4N2,640,2636,80,True,8303,0,3302,169.041,11711,600.03,1884283
N640K80M4N3,640,2623,80,True,8494,0,10707,537.586,11944,600.022,1884283
N640K80M4N4,640,2624,80,True,8360,0,5901,299.779,11829,600.025,1884283
N640K80M4N5,640,2612,80,True,8451,0,8922,459.923,11633,600.042,1884283
N1280K80M4N1,1280,5419,120,True,17519,0,1211,123.91,5822,600.069,1887782
N1280K80M4N2,1280,5405,120,True,17524,0,1788,187.167,5783,600.003,1887782
N1280K80M4N3,1280,5433,120,True,18217,0,1061,114.878,5577,600.101,1887782
N1280K80M4N4,1280,5438,120,True,17993,0,5265,542.053,5831,600.086,1887782
N1280K80M4N5,1280,5467,120,True,18446,0,2378,244.31,5822,600.086,1887782
N160K20M4N1,160,649,20,True,2152,0,110,1.71162,44477,600.001,1887782
N160K20M4N2,160,651,20,True,2041,0,18238,247.414,43691,600.001,1887782
N160K20M4N3,160,653,20,True,1875,0,4429,65.4278,42764,600.005,1887782
N160K20M4N4,160,644,20,True,2010,0,11354,154.955,45208,600.0,1887782
N160K20M4N5,160,660,20,True,2085,0,21883,305.157,44312,600.003,1887782
N2560K160M4N1,2560,10879,240,True,35743,0,2562,579.464,2651,600.217,1887782
N2560K160M4N2,2560,10894,240,True,35965,0,2447,533.16,2753,600.158,1887782
N2560K160M4N3,2560,10877,240,True,35164,0,2746,593.46,2776,600.061,1887782
N2560K160M4N4,2560,10873,240,True,36478,0,2755,590.595,2799,600.118,1887782
N2560K160M4N5,2560,10917,240,True,43061,0,2899,599.277,2903,600.162,1887782
N320K40M4N1,320,1309,40,True,4185,0,18657,464.195,24227,600.004,1887782
N320K40M4N2,320,1307,40,True,4016,0,912,23.3648,23539,600.005,1887782
N320K40M4N3,320,1311,40,True,4476,0,19115,501.888,22789,600.024,1887782
N320K40M4N4,320,1306,40,True,3937,0,507,13.4212,23864,600.019,1887782
N320K40M4N5,320,1311,40,True,4352,0,6222,162.828,22933,600.004,1887782
N5120K320M4N1,5120,21775,480,True,71370,0,1285,596.637,1292,600.077,1887782
N5120K320M4N2,5120,21803,480,True,72218,0,1301,600.149,1301,600.149,1887782
N640K80M4N1,640,2615,80,True,8461,0,8210,437.368,11194,600.04,1887782
N640K80M4N2,640,2636,80,True,8304,0,9101,464.391,11765,600.032,1887782
N640K80M4N3,640,2623,80,True,8495,0,3802,197.007,11400,600.049,1887782
N640K80M4N4,640,2624,80,True,8361,0,11064,597.639,11111,600.041,1887782
N640K80M4N5,640,2612,80,True,8445,0,9822,519.366,11377,600.012,1887782
