Instance,Cplex,Simplex,Isolation,Local Search,Calinescu,Exponential Clocks,Buchbinder,Single Threshold 1,Single Threshold 2,Descending Threshold 1,Descending Threshold 2,Independent Threshold,3-Ingredient Mix,4-Ingredient Mix
80T1E5,960.0,960.0,1007.0,960.0,960.0,960.0,960.0,960.0,960.0,960.0,960.0,960.0,960.0,960.0
40T1E1,340.0,340.0,348.0,340.0,340.0,340.0,340.0,340.0,340.0,340.0,340.0,340.0,340.0,340.0
40T1E2,316.0,316.0,325.0,316.0,316.0,316.0,316.0,316.0,316.0,316.0,316.0,316.0,316.0,316.0
40T1E3,178.0,178.0,190.0,178.0,178.0,178.0,178.0,178.0,178.0,178.0,178.0,178.0,178.0,178.0
40T1E4,379.0,379.0,390.0,379.0,379.0,379.0,379.0,379.0,379.0,379.0,379.0,379.0,379.0,379.0
40T1E5,238.0,238.0,255.0,238.0,238.0,238.0,238.0,238.0,238.0,238.0,238.0,238.0,238.0,238.0
20T6E1,29631.0,29631.0,36702.0,29658.2,29631.0,29631.0,29631.0,29631.0,29631.0,29631.0,29631.0,29631.0,29631.0,29631.0
20T6E2,28764.0,28764.0,36403.0,28799.0,28764.0,28764.0,28764.0,28764.0,28764.0,28764.0,28764.0,28764.0,28764.0,28764.0
20T6E3,27614.0,27614.0,35035.0,27630.0,27614.0,27614.0,27614.0,27614.0,27614.0,27614.0,27614.0,27614.0,27614.0,27614.0
20T6E4,29283.0,29283.0,36529.0,29303.8,29283.0,29283.0,29283.0,29283.0,29283.0,29283.0,29283.0,29283.0,29283.0,29283.0
20T6E5,28977.0,28977.0,36631.0,29018.0,28977.0,28977.0,28977.0,28977.0,28977.0,28977.0,28977.0,28977.0,28977.0,28977.0
20T2E1,3053.0,3053.0,3760.0,3055.6,3053.0,3053.0,3053.0,3053.0,3053.0,3053.0,3053.0,3053.0,3053.0,3053.0
20T2E2,2915.0,2915.0,3643.0,2918.2,2915.0,2915.0,2915.0,2915.0,2915.0,2915.0,2915.0,2915.0,2915.0,2915.0
