Instance,Vertices,Edges,Terminals,Algorithm,Cut Weight,Iterations,Time (ms)
N640K80M4N4,640,2624,80,Local Search (Random1),8360.000,81,
N640K80M4N4,640,2612,80,Local Search (Random2),8365.000,83,
N640K80M4N5,640,2612,80,Local Search (OneEach),8456.000,98,
N640K80M4N5,640,2612,80,Local Search (Clumps),8446.000,55,
N640K80M4N5,640,2612,80,Local Search (Isolation Heuristic),8448.000,63,
N640K80M4N5,640,2612,80,Local Search (Random1),8454.000,82,
N640K80M4N5,640,2612,80,Local Search (Random2),8453.000,80,96766
N1280K80M4N1,1280,5419,120,Local Search (OneEach),17519.000,134,612632
N1280K80M4N1,1280,5419,120,Local Search (Clumps),17515.000,75,602008
N1280K80M4N1,1280,5419,120,Local Search (Isolation Heuristic),17522.000,97,490589
N1280K80M4N1,1280,5419,120,Local Search (Random1),17520.000,109,538922
N1280K80M4N1,1280,5419,120,Local Search (Random2),17523.000,114,592441
N1280K80M4N2,1280,5405,120,Local Search (OneEach),17512.000,129,611355
N1280K80M4N2,1280,5405,120,Local Search (Clumps),17507.000,76,508988
N1280K80M4N2,1280,5405,120,Local Search (Isolation Heuristic),17502.000,83,539602
N1280K80M4N2,1280,5405,120,Local Search (Random1),17512.000,103,584817
N1280K80M4N2,1280,5405,120,Local Search (Random2),17512.000,112,600252
N1280K80M4N3,1280,5433,120,Local Search (OneEach),18211.000,134,680462
N1280K80M4N3,1280,5433,120,Local Search (Clumps),18198.000,75,541008
N1280K80M4N3,1280,5433,120,Local Search (Isolation Heuristic),18198.000,92,556250
N1280K80M4N3,1280,5433,120,Local Search (Random1),18218.000,103,589025
N1280K80M4N3,1280,5433,120,Local Search (Random2),18209.000,116,600782
N1280K80M4N4,1280,5438,120,Local Search (OneEach),17956.000,136,657795
N1280K80M4N4,1280,5438,120,Local Search (Clumps),17947.000,83,524045
N1280K80M4N4,1280,5438,120,Local Search (Isolation Heuristic),17956.000,91,537270
N1280K80M4N4,1280,5438,120,Local Search (Random1),17962.000,111,589141
N1280K80M4N4,1280,5438,120,Local Search (Random2),17955.000,110,602645
N1280K80M4N5,1280,5467,120,Local Search (OneEach),18413.000,136,650227
N1280K80M4N5,1280,5467,120,Local Search (Clumps),18404.000,79,529536
N1280K80M4N5,1280,5467,120,Local Search (Isolation Heuristic),18409.000,93,555531
N1280K80M4N5,1280,5467,120,Local Search (Random1),18413.000,113,599495
N1280K80M4N5,1280,5432,120,Local Search (Random2),18411.000,114,630894
N2560K160M4N1,2560,10879,240,Local Search (OneEach),35688.000,303,6658633
N2560K160M4N1,2560,10879,240,Local Search (Clumps),35685.000,183,5030816
N2560K160M4N1,2560,10879,240,Local Search (Isolation Heuristic),35688.000,203,5302428
N2560K160M4N1,2560,10879,240,Local Search (Random1),35693.000,256,6245073
N2560K160M4N1,2560,10879,240,Local Search (Random2),35686.000,263,6727560
N2560K160M4N2,2560,10894,240,Local Search (OneEach),35913.000,300,7006665
N2560K160M4N2,2560,10894,240,Local Search (Clumps),35911.000,159,4291353
N2560K160M4N2,2560,10894,240,Local Search (Isolation Heuristic),35918.000,215,6113617
N2560K160M4N2,2560,10894,240,Local Search (Random1),35913.000,263,6986873
N2560K160M4N2,2560,10894,240,Local Search (Random2),35914.000,253,6960566
N2560K160M4N3,2560,10877,240,Local Search (OneEach),34924.000,294,6222531
N2560K160M4N3,2560,10877,240,Local Search (Clumps),34924.000,174,4819715
N2560K160M4N3,2560,10877,240,Local Search (Isolation Heuristic),34924.000,209,6266137
N2560K160M4N3,2560,10877,240,Local Search (Random1),34924.000,260,6331857
N2560K160M4N3,2560,10877,240,Local Search (Random2),34924.000,256,6419330
N2560K160M4N4,2560,10873,240,Local Search (OneEach),36424.000,318,6615388
N2560K160M4N4,2560,10873,240,Local Search (Clumps),36427.000,169,5188848
N2560K160M4N4,2560,10873,240,Local Search (Isolation Heuristic),36428.000,213,6263595
N2560K160M4N4,2560,10873,240,Local Search (Random1),36429.000,265,6664772
N2560K160M4N4,2560,10873,240,Local Search (Random2),36430.000,253,6330155
N2560K160M4N5,2560,10917,240,Local Search (OneEach),36234.000,301,6530928
N2560K160M4N5,2560,10917,240,Local Search (Clumps),36234.000,167,5203518
N2560K160M4N5,2560,10917,240,Local Search (Isolation Heuristic),36234.000,199,6005283
N2560K160M4N5,2560,10917,240,Local Search (Random1),36236.000,251,6603800
N2560K160M4N5,2560,10890,240,Local Search (Random2),36234.000,254,6576189
N5120K320M4N1,5120,21775,480,Local Search (OneEach),70960.000,606,66365918
N5120K320M4N1,5120,21775,480,Local Search (Clumps),70978.000,318,55945550
N5120K320M4N1,5120,21775,480,Local Search (Isolation Heuristic),70967.000,415,64754813
N5120K320M4N2,5120,21803,480,Local Search (OneEach),71811.000,614,65610291
N5120K320M4N2,5120,21803,480,Local Search (Clumps),71810.000,346,46339982
N5120K320M4N2,5120,21803,480,Local Search (Isolation Heuristic),71815.000,417,63186139
