Instance,Nodes,Edges,Terminals,Valid Solution,Best cost,Num edges cut,Last update iteration,Last update time,Final iteration,Final time,seed
N320K40M4N3,320,1311,40,True,4477,0,13322,340.12,23439,600.023,1328963
N320K40M4N4,320,1306,40,True,3937,0,914,23.1709,23773,600.003,1328963
N320K40M4N5,320,1311,40,True,4352,0,4191,110.644,21641,600.034,1328963
N5120K320M4N1,5120,21775,480,True,71346,0,1166,599.201,1168,600.158,1328963
N5120K320M4N2,5120,21803,480,True,72657,0,1143,596.634,1150,600.167,1328963
N640K80M4N1,640,2615,80,True,8462,0,2853,159.216,10598,600.053,1328963
N640K80M4N2,640,2636,80,True,8302,0,7758,423.441,11039,600.043,1328963
N640K80M4N3,640,2623,80,True,8494,0,4542,244.193,10874,600.006,1328963
N640K80M4N4,640,2624,80,True,8363,0,1645,91.9359,11176,600.021,1328963
N640K80M4N5,640,2612,80,True,8454,0,3910,199.959,11631,600.038,1328963
N1280K80M4N1,1280,5419,120,True,17516,0,4293,443.297,5810,600.044,1694354
N1280K80M4N2,1280,5405,120,True,17524,0,1132,115.049,5874,600.033,1694354
N1280K80M4N3,1280,5433,120,True,18210,0,2610,278.169,5629,600.024,1694354
N1280K80M4N4,1280,5438,120,True,17962,0,5446,554.059,5896,600.011,1694354
N1280K80M4N5,1280,5467,120,True,18416,0,5708,583.171,5873,600.065,1694354
N160K20M4N1,160,649,20,True,2152,0,431,5.78307,45152,600.008,1694354
N160K20M4N2,160,651,20,True,2041,0,35186,482.225,43714,600.009,1694354
N160K20M4N3,160,653,20,True,1875,0,10239,142.87,43140,600.003,1694354
N160K20M4N4,160,644,20,True,2010,0,427,5.70834,45159,600.009,1694354
N160K20M4N5,160,660,20,True,2086,0,102,1.38608,44917,600.002,1694354
N2560K160M4N1,2560,10879,240,True,35729,0,2428,535.231,2721,600.141,1694354
N2560K160M4N2,2560,10894,240,True,35957,0,2686,595.061,2709,600.181,1694354
N2560K160M4N3,2560,10877,240,True,35895,0,2764,596.97,2779,600.21,1694354
N2560K160M4N4,2560,10873,240,True,36464,0,2794,595.773,2814,600.063,1694354
N2560K160M4N5,2560,10917,240,True,37793,0,2631,565.926,2790,600.135,1694354
N320K40M4N1,320,1309,40,True,4186,0,659,16.1005,24718,600.012,1694354
N320K40M4N2,320,1307,40,True,4016,0,11934,300.163,23900,600.025,1694354
N320K40M4N3,320,1311,40,True,4476,0,9617,240.526,23810,600.02,1694354
N320K40M4N4,320,1306,40,True,3937,0,301,7.56527,24172,600.023,1694354
N320K40M4N5,320,1311,40,True,4352,0,7322,190.769,23120,600.006,1694354
N5120K320M4N1,5120,21775,480,True,71365,0,1284,598.363,1288,600.234,1694354
