instancia,vertices,arestas,terminais,isolation_custo,isolation_tempo (s),local_search_custo_1_60s,local_search_tempo_1_60s (s),local_search_custo_1_final,local_search_tempo_1_final (s),local_search_custo_2_60s,local_search_tempo_2_60s (s),local_search_custo_2_final,local_search_tempo_2_final (s),local_search_custo_3_60s,local_search_tempo_3_60s (s),local_search_custo_3_final,local_search_tempo_3_final (s)
N2560_M2N_K160_2,2560,7004,160,34527.0,0.678477987,56993.0,62.614412737,29389.0,601.043409945,33474.0,60.704995239999995,28430.0,600.446484425,32849.0,62.249370858,28117.0,619.673637312
N2560_M2N_K160_3,2560,7026,160,33880.0,0.678541533,57991.0,61.57187703,29355.0,601.637600829,33437.0,60.063049226000004,28268.0,603.615092079,32187.0,63.254627489,28012.0,605.149888026
N2560_M2N_K320_1,2560,6084,320,33659.0,0.764028264,50941.0,61.772255305,38477.0,602.320688322,34102.0,62.039442277,33109.0,600.0307671649999,33397.0,65.101066311,32397.0,602.751600488
N2560_M2N_K320_2,2560,6075,320,34580.0,0.799004727,53130.0,60.367383801,40795.0,602.390101409,34916.0,60.474176706,34085.0,600.7775888069999,34351.0,64.860690362,33151.0,608.289380253
N2560_M2N_K320_3,2560,6090,320,33679.0,0.75907778,52120.0,60.381371342,39898.0,600.680193358,34292.0,72.53480407100001,33528.0,603.4598182259999,33442.0,61.797187845,32608.0,615.5606666269999
N2560_M2N_K640_1,2560,5491,640,35566.0,0.955590025,64010.0,62.182823983,52478.0,600.72550645,36467.0,60.843367784,35496.0,601.371057405,34911.0,61.319463565,32027.0,600.932790765
N2560_M2N_K640_2,2560,5514,640,36664.0,0.91237171,63176.0,61.213992252,52095.0,602.400921761,36586.0,65.533753672,35525.0,600.448435853,35915.0,60.169787715,32918.0,601.609994744
N2560_M2N_K640_3,2560,5493,640,36094.0,0.983036079,63463.0,61.633623819,52791.0,600.636096619,36835.0,71.245937543,35885.0,600.809588046,35481.0,61.709778352,32793.0,602.4435320529999
N2560_M4N_K160_1,2560,11154,160,36238.0,0.807389003,51979.0,63.931132839,42527.0,607.804027593,36145.0,182.238847442,35884.0,600.746536861,35953.0,64.49035401100001,34931.0,606.335674141
N2560_M4N_K160_2,2560,11191,160,37503.0,0.785802446,51233.0,63.073816649,41949.0,606.6485601859999,37209.0,68.199715681,36765.0,604.2727736449999,37169.0,61.934089903,36214.0,617.8871501149999
N2560_M4N_K160_3,2560,11181,160,38402.0,0.843117971,53241.0,60.865157711,43594.0,602.493970762,37963.0,78.838677449,37639.0,604.514512318,38161.0,73.40322726,36974.0,601.010461027
N2560_M4N_K320_1,2560,10498,320,42471.0,1.038300488,67063.0,63.93620366,58083.0,602.691690205,40488.0,110.139593795,40204.0,608.36497743,42101.0,65.049864564,39201.0,603.3002981689999
N2560_M4N_K320_2,2560,10530,320,44075.0,1.045457935,67951.0,60.172939023,59159.0,603.166542274,41744.0,61.560496908,41485.0,625.86191421,43569.0,67.230856405,40995.0,607.859444888
N2560_M4N_K320_3,2560,10539,320,41399.0,0.978323012,65949.0,66.175100535,57042.0,607.678781433,39876.0,99.87688314200001,39379.0,603.036830538,41017.0,64.865641795,38987.0,607.764449964
N2560_M4N_K640_1,2560,10234,640,84938.0,1.404659637,111495.0,64.685995807,104700.0,610.1027146700001,75949.0,76.629831446,75678.0,604.252546006,84244.0,62.257479246,79709.0,601.574300325
N2560_M4N_K640_2,2560,10231,640,84302.0,1.398503056,111833.0,61.851006812,104641.0,609.61831449,76353.0,86.752891745,76012.0,607.25373026,83817.0,68.67618721800001,79092.0,607.048859354
